dataset,video_id,feature_change,random,real_anomaly,real_anomaly_nms,stratified_real_anomaly,uniform,all_selector_k_matches_uniform
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/-ahmed-_776843120%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/0065464654_4804233%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/050221_138598904%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/09045_552603156%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/111111111111_421748285%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/1121231231231231_643574533%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/12345-90086_161537791%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/12348822_520388045%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/1235311_468903194%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/1554545_990274538%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/1656511_927926754%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/1tree2_75260605%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/2111132_923581868%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/22225591_159614590%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/22322777_980901699%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/23234111213123123123_474219769%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/23446k_310435470%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/247axel_879229487%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/2592108_968226828%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/2kota_345048458%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/2mas_968402667%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/331212222122_15392619%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/35h_783477259%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/360video_921703662%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/3769_109597890%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/3dq_200412742%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/40-_747442607%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/444enki_753218487%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/454555555555555555555555_393753335%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/54888787787_225275064%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/5ej_26436982%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/624329_926004613%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/7adi1_961703618%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/7negiashish_371783258%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/8---d7652_28389355%2Fmd.mp4,3,3,3,3,3,3,True
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/951963_106836580%2Fmd.mp4,3,3,3,3,3,3,True
