reference_section,reference_item,alpha_stalled_counterpart,status,priority,evidence_status,existing_evidence,missing_evidence,gap,next_action
Table 1 / Sec. 5.2,三 benchmark 主结果与检测器对比,三数据集 global-only / patch-only / Alpha-STALLED 主表,complete_for_our_method,P2,all_required_paths_exist,results/paper_tables/alpha_stalled_main_summary.md; results/paper_tables/ablation_summary.md,,尚未重跑 AEROBLADE/RIGID/ZED/D3/T2VE/AIGVDet 等外部 baseline；当前论文可重点和 STALL global-only / patch branch 比较。,若投稿需要完整 SOTA baseline 表，再单独建立 baseline 环境重跑；否则不建议优先做。
Fig. 6c / D.6.6,calibration source ablation,真实视频百分位校准假设与 cross-dataset frozen hyperparameter,partial,P2,all_required_paths_exist,results/journal_experiments/cross_dataset_frozen_hyperparams/cross_dataset_frozen_hyperparams.md,,还没有用 VATEX/MSR-VTT/Panda70M/DiDeMo 等不同真实校准源重建 Alpha-STALLED patch params。,需要重新构造真实校准集并生成 patch params；计算成本高，建议只在审稿要求时做一个代表数据集。
Fig. 7a / D.6.5,calibration set size ablation,当前只审计 cache/storage；未按校准集大小重建参数,missing_but_cost_audited,P3,all_required_paths_exist,results/journal_experiments/runtime_storage_audit/runtime_storage_audit.md,,缺少 1k/5k/10k/... real calibration size 下的 patch/global 校准重建和评测。,需要从真实集抽样、多次重建 patch params；优先级低于 duration/window 代表实跑。
Table 2 / D.6.4,backbone encoder ablation,当前 Alpha-STALLED 固定 DINOv3；无 MobileNet/ResNet/ViCLIP/VideoMAE 对照,missing_requires_feature_extraction,P3,all_required_paths_exist,results/paper_tables/alpha_stalled_main_summary.md,,需要为其他 backbone 重新提 global/patch embedding 与校准参数；不是 CSV 级分析。,不建议当前补；若要做，先选 ComGenVid 小规模 smoke，再决定是否铺开。
Fig. 14 / D.2.1,spatial-only / temporal-only / combined component ablation,global-only / patch-only / Alpha-STALLED；ComGenVid patch spatial 与多种 temporal 定义,complete,done,all_required_paths_exist,results/paper_tables/ablation_summary.md; results/paper_scores/comgenvid_patch_spatial.csv; results/paper_scores/comgenvid_patch_second_order.csv,,已覆盖我们的核心组件；不需要重复基础消融。,写论文时强调 global STALL 与 patch 二阶时序的互补，而不是沿用原文 spatial/temporal 命名。
Fig. 15 / D.2.2,frame-level aggregation min/mean/max ablation,patch region size、mean vs bottom-k aggregation、bottom-k ratio,complete_for_patch_branch,done,all_required_paths_exist,results/journal_experiments/region_sensitivity/region_sensitivity_summary.md; results/journal_experiments/aggregation_sensitivity/aggregation_sensitivity_summary.md; results/journal_experiments/bottomk_sensitivity/bottomk_sensitivity_summary.md,,没有逐帧 min/max 原文式 ablation；但已覆盖 Alpha-STALLED patch 分支更相关的局部聚合边界。,不建议补原文 min/max；当前 region/aggregation 结果更贴合我们的创新点。
Fig. 13 / D.1,temporal derivative order D=1/2/3/4,ComGenVid lag-1、multi-lag、motion-hard/soft、同网格 D=2/3/4 patch temporal derivative 对照,representative_derivative_order_complete,done,all_required_paths_exist,results/paper_scores/comgenvid_patch_lag1.csv; results/paper_scores/comgenvid_patch_multilag.csv; results/paper_scores/comgenvid_patch_second_order_ablation.csv; results/journal_experiments/temporal_derivative_order/comgenvid_temporal_derivative_order.md,,已在 ComGenVid 上完成 D=3/D=4 代表性对照；尚未铺开三数据集完整 derivative-order sweep。,当前足以说明二阶局部时序证据不是任意选择；除非审稿要求，不建议扩展到三数据集。
Fig. 8 / D.6.1-D.6.3,step size / FPS / video length ablation,duration/window feasibility audit + ComGenVid 1s representative run,representative_run_complete,done,all_required_paths_exist,results/journal_experiments/duration_window_feasibility/duration_window_feasibility.md; results/journal_experiments/duration_window_representative/comgenvid_duration_window_representative.md,,已补 ComGenVid 1s vs 2s 代表性 patch-only 对照；尚未铺开三数据集 1s/3s/4s 全网格。,当前足以作为短窗口边界证据；除非审稿要求，不建议直接铺开 3 数据集 × 4 时长。
Fig. 7b / D.5,image perturbation robustness,当前无 JPEG/blur/crop/noise 扰动结果,missing_requires_video_or_frame_reprocessing,P3,no_local_evidence_required_paths,,,需要对视频帧施加扰动并重新提 DINOv3/patch 特征；不属于现有 CSV 可推导。,不建议当前补；若审稿要求，先做 GenVideo 小子集和 global-only/Alpha-STALLED 对照。
D.4,temporal perturbation robustness,当前无 reverse/shuffle/flash 扰动实验,missing_requires_video_or_cache_rebuild,P3,no_local_evidence_required_paths,,,需要重排/插帧并重新提特征；patch cache 不能直接表达扰动后视频。,不建议当前补；可在未来用 400 个真实视频做小规模机制验证。
B,normality / Gaussian assumption tests,当前没有针对 patch 二阶差分的 AD/DP 正态性检验,missing_optional_theory,P3,no_local_evidence_required_paths,,,可从 patch embedding cache 抽样做正态性检验，但 cache 体积大，且理论上我们主要继承原文 DINOv3 likelihood 假设。,可作为低优先级理论补充；优先先写明继承 STALL 全局校准假设，patch 分支为经验增强。
A.4,D3 baseline protocol audit,D3 protocol audit：采样、类别平衡、FPS 处理、encoder 和指标方向,protocol_audit_complete_without_external_rerun,done,all_required_paths_exist,results/journal_experiments/d3_protocol_audit/d3_protocol_audit.md; results/journal_experiments/d3_protocol_audit/d3_protocol_audit.csv,,已完成 protocol audit；尚未重跑外部 D3 baseline。,若审稿要求 D3 数值，再按 audit 中的同索引、同帧索引、pairwise balanced 协议单独重跑。
E,inference time / memory analysis,runtime/storage audit + CSV-stage + video-stage runtime benchmark,representative_runtime_complete,done,all_required_paths_exist,results/journal_experiments/runtime_storage_audit/runtime_storage_audit.md; results/journal_experiments/runtime_benchmark/csv_stage_runtime_benchmark.md; results/journal_experiments/video_stage_runtime_benchmark/video_stage_runtime_benchmark.md,,已有 storage footprint、CSV-stage 计时和 ComGenVid 小样本 clean-cache video-stage 计时；尚未做三数据集全量 clean-cache 端到端总耗时。,当前足以报告代表性阶段成本；除非审稿要求，不建议清空三数据集 cache 后重跑全量端到端。
D.7 / Fig. 19-20,qualitative examples,patch anomaly case visualization + 原视频关键帧解释 + failure case audit,complete_with_raw_keyframes,done,all_required_paths_exist,results/journal_experiments/case_visualizations/patch_anomaly_cases.svg; results/journal_experiments/keyframe_case_explanations/keyframe_patch_anomaly_cases.svg; results/journal_experiments/keyframe_case_explanations/keyframe_case_explanations.md; results/journal_experiments/failure_case_audit/failure_case_audit.md,,已完成关键帧级可视化和解释表；具体语义原因仍需作者人工复核原视频。,主文只选 2–3 个代表案例；完整 6 例放补充材料。
Statistical reporting,显著性/稳定性分析,逐生成器 paired bootstrap + 宏平均 paired bootstrap,complete_extra,done,all_required_paths_exist,results/paper_sensitivity/paired_bootstrap_delta_summary.csv; results/journal_experiments/macro_average_bootstrap/macro_average_paired_bootstrap_delta.md,,该项比原文主文更充分，可用于论文 Average 行稳定性。,写作时区分宏平均总体提升与 VideoFeedback 内部负迁移。
